HistoricalDate,INDEX_NAME,OPEN,HIGH,LOW,CLOSE
22 Sep 2023,Nifty Bank,44707.35,44996.75,44548.90,44612.05
21 Sep 2023,Nifty Bank,45179.60,45276.80,44592.45,44623.85
20 Sep 2023,Nifty Bank,45493.70,45745.15,45276.40,45384.60
18 Sep 2023,Nifty Bank,46100.95,46252.95,45906.90,45979.85
15 Sep 2023,Nifty Bank,46122.15,46310.40,46028.75,46231.50
14 Sep 2023,Nifty Bank,46013.30,46153.90,45801.50,46000.85
13 Sep 2023,Nifty Bank,45449.35,45990.50,45299.40,45909.45
12 Sep 2023,Nifty Bank,45893.80,45893.80,45322.55,45511.35
11 Sep 2023,Nifty Bank,45340.80,45636.20,45231.30,45570.70
08 Sep 2023,Nifty Bank,44953.65,45383.35,44812.15,45156.40
07 Sep 2023,Nifty Bank,44418.05,44915.55,44341.20,44878.35
06 Sep 2023,Nifty Bank,44494.65,44577.00,44207.25,44409.10
05 Sep 2023,Nifty Bank,44625.05,44668.70,44401.70,44532.15
04 Sep 2023,Nifty Bank,44647.65,44656.05,44310.95,44578.30
01 Sep 2023,Nifty Bank,43996.10,44568.55,43830.75,44436.10
31 Aug 2023,Nifty Bank,44265.85,44399.65,43895.05,43989.15
30 Aug 2023,Nifty Bank,44706.55,44779.65,44149.80,44232.60
29 Aug 2023,Nifty Bank,44655.75,44673.00,44429.80,44495.25
28 Aug 2023,Nifty Bank,44253.65,44610.40,44201.45,44494.65
25 Aug 2023,Nifty Bank,44276.20,44359.10,43983.75,44231.45
24 Aug 2023,Nifty Bank,44704.20,44949.90,44433.75,44496.20
23 Aug 2023,Nifty Bank,44064.50,44521.65,43952.05,44479.05
22 Aug 2023,Nifty Bank,44125.00,44151.30,43938.70,43993.25
21 Aug 2023,Nifty Bank,43952.85,44113.80,43862.00,44002.00
18 Aug 2023,Nifty Bank,43724.75,43957.65,43672.45,43851.05
17 Aug 2023,Nifty Bank,43897.25,44071.85,43745.10,43891.35
16 Aug 2023,Nifty Bank,43726.25,44002.80,43600.35,43946.40
14 Aug 2023,Nifty Bank,44066.60,44212.75,43776.90,44090.95
11 Aug 2023,Nifty Bank,44568.15,44571.25,44120.90,44199.10
10 Aug 2023,Nifty Bank,44797.65,44980.35,44418.40,44541.80
